Country,Consumption emissions in MtCO₂ (2012),Transfer emissions in MtCO₂ (2012),Territorial emissions MtCo2 (2012),Consumption emissions in tCO₂ per person (2012),Territorial emissions in tCO₂ per person (2012)
Afghanistan,,,9.2784,,0.3110995591
Albania,6.6074,-2.0313,4.5761,2.0895719689,1.447178964
Algeria,,,137.8274,,3.5816344416
Andorra,,,0.50777,,6.4799642675
Angola,,,30.6041,,1.4699004948
Anguilla,,,0.066762,,4.7241720917
Antigua and Barbuda,,,0.51926,,5.8298622416
Argentina,183.1407,9.3082,192.4489,4.4573959011,4.683944847
Armenia,5.098,-0.91316,4.1848,1.7170296129,1.4094596948
Aruba,,,2.3478,,22.9313173933
Australia,337.6881,14.946,352.6341,14.6499435955,15.298346832
Austria,93.3647,-31.1045,62.2602,11.0308688097,7.3559289353
Azerbaijan,40.9663,10.2767,51.2429,4.4007391159,5.5046863994
Bahamas,,,2.4925,,6.7009893537
Bahrain,16.9149,7.079,23.9939,12.835448052,18.2071698334
Bangladesh,76.9384,-13.1994,63.739,0.4973542582,0.4120291436
Barbados,,,1.4941,,5.2753856529
Belarus,76.1088,-13.7881,62.3207,8.0922929344,6.6262687137
Belgium,223.8408,-125.5922,98.2486,20.2385965039,8.8831605877
Belize,,,0.42653,,1.3162068753
Benin,9.0973,-3.85,5.2473,0.9051407553,0.5220829351
Bermuda,,,0.48217,,7.3934310599
Bhutan,,,0.67115,,0.9047318629
Bolivia,14.918,2.6705,17.5886,1.4212647618,1.6756976397
Bosnia and Herzegovina,,,31.5464,,8.2282449589
Botswana,10.9761,-5.9188,5.0573,5.4773417968,2.523716135
Brazil,482.2067,-27.5322,454.6745,2.427345028,2.2887527007
British Virgin Islands,,,0.11869,,4.2256479635
Brunei Darussalam,,,10.4343,,25.3113492691
Bulgaria,47.1973,-1.9531,45.2442,6.4850777656,6.2167148427
Burkina Faso,2.1663,-0.47887,1.6874,0.1316088362,0.1025143102
Burundi,,,0.31112,,0.0315871689
Cambodia,12.3406,-7.4603,4.8803,0.8301980417,0.3283159249
Cameroon,9.0932,-1.7875,7.3057,0.4190486004,0.3366739278
Canada,560.229,-60.6257,499.6034,16.0809849527,14.3407691457
Cape Verde,,,0.35654,,0.7211554993
Cayman Islands,,,0.59715,,10.3725898906
Central African Republic,,,0.26465,,0.0584834866
Chad,,,0.47048,,0.0377950985
Chile,92.7053,-6.8255,85.8799,5.3081183687,4.9173097406
China,8039.9018,1560.8117,9600.7135,5.8384334385,6.9718670857
Colombia,89.8563,-6.8639,82.9924,1.8836050583,1.7397211374
Comoros,,,0.13967,,0.194661207
Congo,,,2.2681,,0.5229590337
Cook Islands,,,0.080857,,3.9398236125
Costa Rica,14.0411,-6.0663,7.9748,2.922005829,1.6595859359
Côte d'Ivoire,8.6933,-2.6978,5.9955,0.4381758843,0.3021963482
Croatia,28.3569,-7.5687,20.7882,6.5832648856,4.8261349828
Cuba,,,39.52,,3.5063570911
Cyprus,11.7944,-4.2287,7.5657,10.4468225695,6.7012756489
Czech Republic,112.7328,-8.4038,104.329,10.5752589739,9.7869137774
Democratic Republic of the Congo,,,2.9474,,0.0448580143
Denmark,59.4804,-21.8472,37.6331,10.6257503001,6.7228855828
Djibouti,,,0.54032,,0.6285334065
Dominica,,,0.13723,,1.9143741979
Dominican Republic,,,21.7718,,2.1185757459
Ecuador,40.4421,-5.7129,34.7292,2.6104706194,2.2417123798
Egypt,222.5728,-2.2632,220.3095,2.7572798917,2.7292416427
El Salvador,9.4545,-3.0908,6.3637,1.5013353143,1.0105291173
Equatorial Guinea,,,4.9402,,6.709529863
Eritrea,,,0.6049,,0.0986637899
Estonia,17.3918,1.2898,18.6816,13.4738893907,14.4731317082
Ethiopia,9.8983,-3.3467,6.5516,0.1079082547,0.0714235496
Faeroe Islands,,,0.69863,,14.112026825
Falkland Islands (Malvinas),,,0.059688,,19.6600790514
Fiji,,,1.4849,,1.6975291
Finland,82.6163,-35.3529,47.2634,15.2753664348,8.7387810148
France,532.0047,-190.5551,341.4496,8.3208194996,5.3404424619
French Guiana,,,0.6985,,2.8735868617
French Polynesia,,,1.0256,,3.7456083327
Gabon,,,2.6253,,1.608076091
Gambia,,,0.47446,,0.2648801798
Georgia,9.853,-3.6288,6.2242,2.2607739543,1.428144651
Germany,917.9401,-176.9189,741.0212,11.0862168909,8.9495183226
Ghana,14.1636,-4.7485,9.415,0.5583593013,0.3711593678
Gibraltar,,,0.45015,,15.3729253466
Greece,78.089,3.4523,81.5414,7.0194637327,7.3298018929
Greenland,,,0.64165,,11.2992410235
Grenada,,,0.26334,,2.4965160263
Guadeloupe,,,1.7567,,3.7900591583
Guatemala,17.3584,-6.0106,11.3479,1.1508714776,0.7523720182
Guinea,2.4782,-1.2396,1.2387,0.2164126207,0.1081713797
Guinea-Bissau,,,0.23892,,0.1436198798
Guyana,,,1.721,,2.1637755557
Haiti,,,2.142,,0.2105413182
Honduras,10.5299,-2.376,8.1539,1.3268780669,1.0274770957
Hong Kong,80.2281,-42.5797,37.6483,11.2230787664,5.2666065421
Hungary,75.3951,-31.1172,44.2778,7.5575006303,4.4383454814
Iceland,,,1.9411,,5.956724676
India,2070.9464,224.0541,2295.0005,1.6745925596,1.8557654421
Indonesia,472.6671,6.399,479.0661,1.9146847426,1.9406058775
Iran,588.464,10.1173,598.5813,7.6999448985,7.8323279373
Iraq,,,120.9528,,3.6900570291
Ireland,53.893,-16.8254,37.0676,11.7775995489,8.1006317897
Israel,94.4472,-17.6828,76.7644,12.3558835438,10.0425633233
Italy,571.2829,-194.8983,376.3846,9.3830453954,6.1819350587
Jamaica,,,7.2527,,2.6193046367
Japan,1596.1012,-341.2214,1254.8798,12.5430641473,9.861553784
Jordan,,,22.0979,,3.1525895635
Kazakhstan,248.3269,50.3669,298.6937,15.2617437398,18.3572005533
Kenya,18.1899,-5.3181,12.8718,0.4212756635,0.2981091752
Kiribati,,,0.072346,,0.7178179509
Kuwait,71.682,29.045,100.727,22.0526344287,30.9881938018
Kyrgyzstan,7.7411,-1.2572,6.484,1.4141028126,1.1844624972
Laos,3.6516,-1.6572,1.9944,0.5494575769,0.3000980916
Latvia,14.4572,-6.8762,7.581,7.0166004345,3.6793326435
Lebanon,,,21.6686,,4.6628430461
Lesotho,,,0.018378,,0.0089581267
Liberia,,,0.81813,,0.1952374873
Libya,,,58.1032,,9.440578245
Lithuania,21.5697,-7.6172,13.9526,7.12430651,4.6084367891
Luxembourg,9.7527,1.0304,10.7832,18.621120242,20.5886845482
Macao,,,1.1903,,2.1378167078
Macedonia (Republic of),,,10.909,,5.1810075633
Madagascar,4.5688,-2.5674,2.0014,0.2049348535,0.0897733794
Malawi,2.8192,-1.5923,1.2269,0.1772359107,0.0771320725
Malaysia,203.7548,20.9971,224.7519,6.9683758102,7.6864726783
Maldives,,,1.2469,,3.6842354081
Mali,,,0.62486,,0.0420679955
Malta,7.1038,-4.5613,2.5424,16.6068205833,5.9434641531
Marshall Islands,,,0.11916,,2.2673389782
Martinique,,,2.3056,,5.7259652757
Mauritania,,,2.2253,,0.5862005653
Mauritius,5.6796,-1.6784,4.0011,4.5819595226,3.2278467227
Mexico,484.7071,-13.9743,470.7328,4.0108996235,3.8952637795
Micronesia (Federated States of),,,0.11916,,1.1524735239
Moldova,,,4.9417,,1.406136671
Mongolia,13.6934,-1.3884,12.305,4.8966487918,4.4001682112
Montenegro,,,2.5986,,4.1839953243
Montserrat,,,0.077888,,15.4355925486
Morocco,59.1483,-7.991,50.9183,1.8187644881,1.565698352
Mozambique,7.7258,-4.6663,3.0595,0.3065380676,0.1213923759
Myanmar,,,10.2695,,0.1945079825
Namibia,9.0625,-5.9051,3.1575,4.0110330518,1.3974992398
Nauru,,,0.09788,,9.7567783094
Nepal,7.2788,-3.0495,4.2293,0.2649304841,0.1539361566
Netherlands,142.7281,23.6041,166.3322,8.539424811,9.9516585419
Netherlands Antilles,,,4.7809,,0
New Caledonia,,,4.3316,,17.1104659201
New Zealand,38.8907,-6.3991,32.4916,8.7201772615,7.2853538638
Nicaragua,5.7069,-1.067,4.6399,0.9524623344,0.7743836383
Niger,,,1.4035,,0.0818031453
Nigeria,63.0111,18.6714,81.6825,0.373213829,0.4838042596
Niue,,,0.0085113,,6.149783237
North Korea,,,74.8116,,3.0210811306
Norway,55.549,1.9463,57.4953,11.1234261971,11.5131636254
Occupied Palestinian Territory,,,2.5324,,0.6002696046
Oman,51.5875,5.7542,57.3417,15.5665312111,17.3028614053
Pakistan,178.7884,-15.918,162.8704,0.997925258,0.909077356
Palau,,,0.25108,,12.0979088369
Panama,3.17,6.3293,9.4993,0.8337100809,2.4983161423
Papua New Guinea,,,3.6286,,0.5062920241
Paraguay,8.7281,-3.6805,5.0476,1.3051635765,0.7547969969
Peru,67.1922,-3.3685,63.8237,2.2406511982,2.1283221844
Philippines,112.5467,-24.4165,88.1303,1.1637934654,0.9113147453
Poland,303.7208,4.7724,308.4932,7.9485332519,8.0734294727
Portugal,66.6974,-12.6428,54.0546,6.2899502858,5.097661179
Qatar,34.9499,45.1262,80.0761,17.0444581212,39.0517206905
Réunion,,,4.2767,,4.9427104642
Romania,98.1877,-14.4025,83.7852,4.5133931955,3.8513535969
Russian Federation,1493.3206,334.6593,1827.98,10.4304269006,12.7679292482
Rwanda,1.1432,-0.54888,0.59431,0.0997748172,0.0518694643
Saint Helena,,,0.011027,,2.65518902
Saint Kitts and Nevis,,,0.25221,,4.7068154673
Saint Lucia,,,0.40799,,2.2557085199
Saint Pierre and Miquelon,,,0.070471,,11.6654527396
Saint Vincent and the Grenadines,,,0.21141,,1.9329267735
Samoa,,,0.18725,,0.9913229463
Sao Tome and Principe,,,0.099242,,0.527607949
Saudi Arabia,419.8189,85.8739,505.6929,14.8409591325,17.8766788786
Senegal,9.105,-1.856,7.249,0.6633386325,0.5281210046
Serbia,,,46.2475,,4.8413759128
Seychelles,,,0.70572,,7.6427078483
Sierra Leone,,,0.70349,,0.1176655164
Singapore,103.2693,-87.9565,15.3128,19.4727812909,2.8874293265
Slovakia,50.0593,-16.7665,33.2928,9.1923491996,6.1135302218
Slovenia,20.9141,-5.4658,15.4483,10.1145853132,7.471186821
Solomon Islands,,,0.23406,,0.4258749122
Somalia,,,0.61016,,0.0598481589
South Africa,336.4935,112.7985,449.2921,6.4233576503,8.5765812646
South Korea,692.9146,-86.0013,606.9134,14.14034003,12.3853095962
Spain,355.7422,-81.3823,274.3599,7.6087197605,5.8680909732
Sri Lanka,23.8505,-9.3677,14.4828,1.1304572985,0.6864504712
Sudan,,,14.5895,,0.3037398802
Suriname,,,2.461,,4.6039499309
Swaziland,,,1.0004,,0.8126825266
Sweden,88.055,-42.8912,45.1638,9.2579226443,4.7484295806
Switzerland,123.878,-85.8057,38.0724,15.4897861167,4.7605977894
Syria,,,62.8926,,2.8731618851
Taiwan,248.0813,14.4928,262.5741,10.6600673255,11.2828237514
Tajikistan,,,2.8119,,0.3510929593
Tanzania,12.2488,-5.1667,7.0821,0.2563416397,0.148213468
Thailand,289.2402,39.2714,328.5115,4.3309155599,4.9189413054
Timor-Leste,,,0.21278,,0.1909872131
Togo,4.4174,-2.7334,1.684,0.6649778531,0.2535026723
Tonga,,,0.18299,,1.7437417215
Trinidad and Tobago,,,48.2651,,36.0877019438
Tunisia,27.8451,-1.4978,26.3473,2.5604889785,2.4227591664
Turkey,364.3109,-35.5821,328.7288,4.923311348,4.4424534963
Turkmenistan,,,60.9496,,11.7824111708
Turks and Caicos Islands,,,0.16319,,5.0325346162
Uganda,5.8019,-1.9491,3.8528,0.1596302853,0.10600382
Ukraine,261.5805,52.6495,314.2301,5.7452409781,6.9016140235
United Arab Emirates,233.5898,-55.429,178.1608,25.3746095741,19.353416722
United Kingdom,642.9783,-167.2472,475.7311,10.2412615239,7.5773733113
United States of America,5540.6778,-441.7186,5098.9592,17.4506642671,16.0594476565
Uruguay,10.028,-3.266,6.762,2.9535354214,1.9916041603
Uzbekistan,,,106.0349,,3.7151231037
Vanuatu,,,0.13618,,0.5507518341
Venezuela,171.2866,38.6495,209.9361,5.7181721436,7.0084335783
Vietnam,159.7852,-0.50974,159.2755,1.7598309014,1.7542172037
Wallis and Futuna Islands,,,0.034045,,2.5496143189
Western Sahara,,,0.23892,,0.4348894483
Yemen,,,23.2045,,0.9728367479
Zambia,6.705,-4.2413,2.4637,0.4763732035,0.1750396214
Zimbabwe,10.2754,-1.2555,9.0199,0.7487002814,0.6572203192
