"Country","Year","Total CO2 Emissions Excluding Land-Use Change and Forestry (MtCO2)","iso2","cumulativeShare"
"China",1850,0,"CN",0
"European Union (28)",1850,176.7939,NA,89.3548338185347
"India",1850,0,"IN",0
"Japan",1850,0,"JP",0
"Russian Federation",1850,0.0699,"RU",0.035328723920427
"Switzerland",1850,0,"CH",0
"United States",1850,19.7929,"US",10.0036895519974
"others",1850,1.19929999999999,NA,0.606147905547466
"China",1851,0,"CN",0
"European Union (28)",1851,173.9521,NA,87.5957019959191
"India",1851,0,"IN",0
"Japan",1851,0,"JP",0
"Russian Federation",1851,0,"RU",0
"Switzerland",1851,0,"CH",0
"United States",1851,24.6331,"US",12.4042980040809
"others",1851,0,NA,0
"China",1852,0,"CN",0
"European Union (28)",1852,180.5253,NA,86.4386060675707
"India",1852,0,"IN",0
"Japan",1852,0,"JP",0
"Russian Federation",1852,0,"RU",0
"Switzerland",1852,0,"CH",0
"United States",1852,26.7912,"US",12.8280854975868
"others",1852,1.53150000000002,NA,0.733308434842576
"China",1853,0,"CN",0
"European Union (28)",1853,186.7797,NA,86.096725525798
"India",1853,0,"IN",0
"Japan",1853,0,"JP",0
"Russian Federation",1853,0,"RU",0
"Switzerland",1853,0,"CH",0
"United States",1853,30.162,"US",13.9032744742021
"others",1853,0,NA,0
"China",1854,0,"CN",0
"European Union (28)",1854,221.6207,NA,86.9851585623513
"India",1854,0,"IN",0
"Japan",1854,0,"JP",0
"Russian Federation",1854,0,"RU",0
"Switzerland",1854,0,"CH",0
"United States",1854,33.1592,"US",13.0148414376487
"others",1854,0,NA,0
"China",1855,0,"CN",0
"European Union (28)",1855,221.2612,NA,85.0533550648871
"India",1855,0,"IN",0
"Japan",1855,0,"JP",0
"Russian Federation",1855,0.2119,"RU",0.0814548865243865
"Switzerland",1855,0,"CH",0
"United States",1855,38.1606,"US",14.6690294606064
"others",1855,0.510299999999972,NA,0.19616058798203
"China",1856,0,"CN",0
"European Union (28)",1856,236.7713,NA,85.0276157779821
"India",1856,0,"IN",0
"Japan",1856,0,"JP",0
"Russian Federation",1856,0,"RU",0
"Switzerland",1856,0,"CH",0
"United States",1856,40.0365,"US",14.3776215237876
"others",1856,1.65620000000001,NA,0.594762698230296
"China",1857,0,"CN",0
"European Union (28)",1857,238.3139,NA,84.4701341235184
"India",1857,0,"IN",0
"Japan",1857,0,"JP",0
"Russian Federation",1857,0,"RU",0
"Switzerland",1857,0,"CH",0
"United States",1857,41.0551,"US",14.5519409629672
"others",1857,2.75900000000001,NA,0.977924913514438
"China",1858,0,"CN",0
"European Union (28)",1858,240.9763,NA,84.3187702944799
"India",1858,0.436,"IN",0.152558504086888
